2024-11-24 06:53:07,463 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,463 - WARNING - Failed to process frame
2024-11-24 06:53:07,470 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,470 - WARNING - Failed to process frame
2024-11-24 06:53:07,478 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,478 - WARNING - Failed to process frame
2024-11-24 06:53:07,485 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,485 - WARNING - Failed to process frame
2024-11-24 06:53:07,494 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,494 - WARNING - Failed to process frame
2024-11-24 06:53:07,501 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,501 - WARNING - Failed to process frame
2024-11-24 06:53:07,509 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,509 - WARNING - Failed to process frame
2024-11-24 06:53:07,516 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,516 - WARNING - Failed to process frame
2024-11-24 06:53:07,523 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,523 - WARNING - Failed to process frame
2024-11-24 06:53:07,530 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,531 - WARNING - Failed to process frame
2024-11-24 06:53:07,538 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,538 - WARNING - Failed to process frame
2024-11-24 06:53:07,545 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,545 - WARNING - Failed to process frame
2024-11-24 06:53:07,552 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,552 - WARNING - Failed to process frame
2024-11-24 06:53:07,560 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,560 - WARNING - Failed to process frame
2024-11-24 06:53:07,567 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,567 - WARNING - Failed to process frame
2024-11-24 06:53:07,574 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,574 - WARNING - Failed to process frame
2024-11-24 06:53:07,582 - ERROR - Frame processing error: [Errno 32] Broken pipe
